from_id,to_id,strength,lag_days,polarity,influence_type
evt_1294781580,evt_1295185621,0.638,2,-1,thematic
evt_1295185621,evt_1295185620,0.9,1,1,direct
evt_1295185328,evt_1295185620,0.75,1,-1,thematic
evt_1295185619,evt_1295185620,0.75,1,-1,thematic
evt_1295185328,evt_1295362557,0.681,1,1,thematic
evt_1295185621,evt_1295362557,0.681,1,-1,thematic
evt_1295185620,evt_1295362557,0.618,1,-1,thematic
evt_1295362557,evt_1295363347,0.75,1,1,thematic
evt_1295185328,evt_1295363347,0.681,1,1,thematic
evt_1295185621,evt_1295363347,0.681,1,-1,thematic
evt_1295363921,evt_1295363923,0.75,1,1,thematic
evt_1295186142,evt_1295363923,0.681,1,1,thematic
evt_1295362557,evt_1295363923,0.6,1,-1,indirect
evt_1295362557,evt_1295362778,0.75,1,-1,thematic
evt_1295363347,evt_1295362778,0.75,1,-1,thematic
evt_1295185328,evt_1295362778,0.681,1,-1,thematic
evt_1295362557,evt_1295363008,0.75,1,-1,thematic
evt_1295363347,evt_1295363008,0.75,1,-1,thematic
evt_1295362778,evt_1295363008,0.718,1,1,thematic
evt_1295363347,evt_1295363350,0.9,1,1,direct
evt_1295362557,evt_1295363350,0.75,1,1,thematic
evt_1295362778,evt_1295363350,0.718,1,-1,thematic
evt_1295362778,evt_1295362772,0.868,1,-1,direct
evt_1295362557,evt_1295362772,0.75,1,1,thematic
evt_1295363347,evt_1295362772,0.75,1,1,thematic
evt_1295362557,evt_1295362782,0.75,1,1,thematic
evt_1295363347,evt_1295362782,0.75,1,1,thematic
evt_1295362778,evt_1295362782,0.718,1,-1,thematic
evt_1295362778,evt_1295362775,0.868,1,-1,direct
evt_1295362772,evt_1295362775,0.78,1,1,direct
