from_id,to_id,relevance_score
evt_1291632184,topic_politics,0.888
evt_1291632185,topic_politics,0.888
evt_1291632186,topic_politics,0.888
evt_1291632187,topic_security,0.99
evt_1291632188,topic_security,1.0
evt_1291632189,topic_security,1.0
evt_1291632190,topic_security,1.0
evt_1291632191,topic_security,1.0
evt_1291632192,topic_security,1.0
evt_1291632193,topic_politics,0.84
evt_1291632194,topic_politics,0.84
evt_1291632195,topic_politics,0.84
evt_1291632196,topic_politics,0.868
evt_1291632197,topic_politics,0.966
evt_1291632198,topic_politics,0.868
evt_1291632199,topic_politics,0.868
evt_1291632200,topic_politics,0.966
evt_1291632201,topic_politics,0.966
evt_1291632202,topic_politics,0.8
evt_1291632203,topic_politics,0.8
evt_1291632204,topic_politics,0.8
evt_1291632205,topic_politics,0.8
evt_1291632206,topic_politics,0.8
evt_1291632207,topic_politics,0.8
evt_1291632208,topic_politics,0.8
evt_1291632209,topic_politics,0.86
evt_1291632210,topic_politics,0.86
evt_1291632211,topic_politics,0.86
evt_1291632212,topic_politics,0.86
evt_1291632213,topic_politics,0.86
evt_1291632214,topic_politics,0.86
evt_1291632215,topic_politics,0.86
evt_1291632216,topic_politics,0.88
evt_1291632217,topic_politics,0.88
evt_1291632218,topic_politics,0.82
evt_1291632219,topic_politics,0.838
evt_1291632220,topic_politics,0.838
evt_1291632221,topic_politics,0.856
evt_1291632222,topic_politics,0.868
evt_1291632223,topic_politics,0.868
evt_1291632224,topic_politics,0.868
evt_1291632225,topic_politics,0.94
evt_1291632226,topic_politics,0.94
evt_1291632227,topic_politics,0.94
evt_1291632228,topic_politics,0.966
evt_1291632229,topic_politics,0.9
evt_1291632230,topic_politics,0.9
evt_1291632231,topic_politics,0.9
evt_1291632232,topic_politics,0.94
evt_1291632233,topic_politics,0.84
evt_1291632234,topic_politics,0.84
evt_1291632235,topic_security,0.88
evt_1291632236,topic_security,0.88
evt_1291632237,topic_security,0.88
evt_1291632238,topic_security,0.88
evt_1291632239,topic_security,0.88
evt_1291632240,topic_security,0.88
evt_1291632241,topic_security,0.88
evt_1291632242,topic_security,0.88
evt_1291632243,topic_security,0.88
evt_1291632244,topic_security,0.88
evt_1291632245,topic_security,0.88
evt_1291632246,topic_security,0.88
evt_1291632247,topic_security,0.9
evt_1291632248,topic_security,0.9
evt_1291632249,topic_security,0.9
evt_1291632250,topic_security,0.9
evt_1291632251,topic_security,0.9
evt_1291632252,topic_security,0.9
evt_1291632253,topic_security,0.9
evt_1291632254,topic_security,1.0
evt_1291632255,topic_security,1.0
evt_1291632256,topic_security,1.0
evt_1291632257,topic_politics,0.856
evt_1291632258,topic_security,0.88
evt_1291632259,topic_security,0.88
evt_1291632260,topic_security,0.88
evt_1291632261,topic_security,0.88
evt_1291632262,topic_politics,0.82
evt_1291632263,topic_politics,0.86
evt_1291632264,topic_politics,0.856
evt_1291632265,topic_security,1.0
evt_1291632266,topic_security,0.88
evt_1291632267,topic_security,0.88
evt_1291632268,topic_security,0.88
evt_1291632269,topic_security,0.88
evt_1291632270,topic_security,0.88
evt_1291632271,topic_security,0.88
evt_1291632272,topic_security,0.88
evt_1291632273,topic_politics,0.87
evt_1291632274,topic_politics,0.87
evt_1291632275,topic_security,0.88
evt_1291632276,topic_politics,0.838
evt_1291632277,topic_security,0.88
evt_1291632278,topic_security,0.88
evt_1291632279,topic_politics,0.868
evt_1291632280,topic_politics,0.868
evt_1291632281,topic_politics,0.868
evt_1291632282,topic_politics,0.82
evt_1291632283,topic_politics,0.856
evt_1291632284,topic_politics,0.856
evt_1291632285,topic_politics,0.868
evt_1291632286,topic_politics,0.94
evt_1291632287,topic_politics,0.82
evt_1291632288,topic_politics,0.868
evt_1291632289,topic_politics,0.868
evt_1291632290,topic_politics,0.868
evt_1291632291,topic_politics,0.868
evt_1291632292,topic_politics,0.868
evt_1291632293,topic_politics,0.868
evt_1291632294,topic_politics,0.868
evt_1291632295,topic_politics,0.868
evt_1291632296,topic_politics,0.86
evt_1291632297,topic_politics,0.86
evt_1291632298,topic_politics,0.92
evt_1291632299,topic_politics,0.92
evt_1291632300,topic_politics,0.838
evt_1291632301,topic_politics,0.856
evt_1291632302,topic_politics,0.94
evt_1291632303,topic_politics,0.94
evt_1291632304,topic_politics,0.82
evt_1291632305,topic_politics,0.82
evt_1291632306,topic_politics,0.82
evt_1291632307,topic_politics,0.82
evt_1291632308,topic_politics,0.82
evt_1291632309,topic_politics,0.82
evt_1291632310,topic_politics,0.82
evt_1291632311,topic_politics,0.82
evt_1291632312,topic_politics,0.838
evt_1291632313,topic_politics,0.838
evt_1291632314,topic_politics,0.838
evt_1291632315,topic_politics,0.82
evt_1291632316,topic_politics,0.82
evt_1291632317,topic_politics,0.82
evt_1291632318,topic_politics,0.82
evt_1291632319,topic_politics,0.82
evt_1291632320,topic_politics,0.82
evt_1291632321,topic_politics,0.82
evt_1291632322,topic_politics,0.82
evt_1291632323,topic_politics,0.94
evt_1291632324,topic_politics,0.82
evt_1291632325,topic_politics,0.82
evt_1291632326,topic_politics,0.82
evt_1291632327,topic_politics,0.82
evt_1291632328,topic_politics,0.82
evt_1291632329,topic_politics,0.82
evt_1291632330,topic_politics,0.82
evt_1291632331,topic_security,0.98
evt_1291632332,topic_security,0.98
evt_1291632333,topic_security,1.0
evt_1291632334,topic_security,1.0
evt_1291632335,topic_security,1.0
evt_1291632336,topic_security,1.0
evt_1291632337,topic_politics,0.86
evt_1291632338,topic_security,0.98
evt_1291632339,topic_security,0.98
evt_1291632340,topic_politics,0.856
evt_1291632341,topic_politics,0.86
evt_1291632342,topic_politics,0.86
evt_1291632343,topic_politics,0.82
evt_1291632344,topic_politics,0.82
evt_1291632345,topic_politics,0.82
evt_1291632346,topic_politics,0.82
evt_1291632347,topic_politics,0.82
evt_1291632348,topic_politics,0.82
evt_1291632349,topic_politics,0.82
evt_1291632350,topic_politics,0.86
evt_1291632351,topic_politics,0.82
evt_1291632352,topic_politics,0.82
evt_1291632353,topic_politics,0.82
evt_1291632354,topic_politics,0.82
evt_1291632355,topic_politics,0.82
evt_1291632356,topic_politics,0.82
evt_1291632357,topic_politics,0.82
evt_1291632358,topic_politics,0.86
evt_1291632359,topic_politics,0.86
evt_1291632360,topic_politics,0.82
evt_1291632361,topic_politics,0.82
evt_1291632362,topic_politics,0.82
evt_1291632363,topic_politics,0.82
evt_1291632364,topic_politics,0.82
evt_1291632365,topic_politics,0.82
evt_1291632366,topic_politics,0.82
evt_1291632367,topic_politics,0.8
evt_1291632368,topic_politics,0.8
evt_1291632369,topic_politics,0.8
evt_1291632370,topic_politics,0.88
evt_1291632371,topic_politics,0.856
evt_1291632372,topic_politics,0.948
evt_1291632373,topic_politics,0.948
evt_1291632374,topic_politics,0.84
evt_1291632375,topic_politics,0.84
evt_1291632376,topic_security,0.9
evt_1291632377,topic_security,0.98
evt_1291632378,topic_security,1.0
evt_1291632379,topic_security,1.0
evt_1291632380,topic_security,1.0
evt_1291632381,topic_politics,0.86
evt_1291632382,topic_politics,0.86
evt_1291632383,topic_politics,0.9
evt_1291632384,topic_politics,0.868
evt_1291632385,topic_politics,0.838
evt_1291632386,topic_politics,0.92
evt_1291632387,topic_security,0.9
evt_1291632388,topic_politics,0.84
evt_1291632389,topic_politics,0.84
evt_1291632390,topic_security,0.98
evt_1291632391,topic_security,0.9
evt_1291632392,topic_security,0.9
evt_1291632393,topic_politics,0.9
evt_1291632394,topic_security,0.9
evt_1291632395,topic_politics,0.838
evt_1291632396,topic_politics,0.82
evt_1291632397,topic_politics,0.82
evt_1291632398,topic_politics,0.82
evt_1291632399,topic_politics,0.838
evt_1291632400,topic_politics,0.838
evt_1291632401,topic_politics,0.838
evt_1291632402,topic_security,0.9
evt_1291632403,topic_security,0.98
evt_1291632404,topic_security,1.0
evt_1291632405,topic_security,1.0
evt_1291632406,topic_politics,0.808
evt_1291632407,topic_politics,0.808
evt_1291632408,topic_politics,0.86
evt_1291632409,topic_politics,0.86
evt_1291632410,topic_politics,0.88
evt_1291632411,topic_politics,0.88
evt_1291632412,topic_politics,0.838
evt_1291632413,topic_politics,0.856
evt_1291632414,topic_politics,0.868
evt_1291632415,topic_politics,0.868
evt_1291632416,topic_politics,0.868
evt_1291632417,topic_politics,0.868
evt_1291632418,topic_politics,0.868
evt_1291632419,topic_politics,0.948
evt_1291632420,topic_politics,0.84
evt_1291632421,topic_politics,0.888
evt_1291632422,topic_politics,0.888
evt_1291632423,topic_politics,0.888
evt_1291632424,topic_politics,0.888
evt_1291632425,topic_politics,0.86
evt_1291632426,topic_politics,0.856
evt_1291632427,topic_politics,0.9
evt_1291632428,topic_politics,0.9
evt_1291632429,topic_politics,0.888
evt_1291632430,topic_politics,0.88
evt_1291632431,topic_politics,0.88
evt_1291632432,topic_politics,0.8
evt_1291632433,topic_politics,0.8
evt_1291632434,topic_politics,0.8
evt_1291632435,topic_politics,0.8
evt_1291632436,topic_politics,0.8
evt_1291632437,topic_politics,0.86
evt_1291632438,topic_security,0.984
evt_1291632439,topic_politics,0.94
evt_1291632440,topic_politics,0.808
evt_1291632441,topic_politics,0.856
evt_1291632442,topic_politics,0.856
evt_1291632443,topic_politics,0.856
evt_1291632444,topic_security,0.88
evt_1291632445,topic_security,0.88
evt_1291632446,topic_politics,0.856
evt_1291632447,topic_politics,0.856
evt_1291632448,topic_politics,0.856
evt_1291632449,topic_politics,0.806
evt_1291632450,topic_politics,0.806
evt_1291632451,topic_politics,0.808
evt_1291632452,topic_politics,0.86
evt_1291632453,topic_politics,0.88
evt_1291632454,topic_politics,0.88
evt_1291632455,topic_politics,0.838
evt_1291632456,topic_politics,0.838
evt_1291632457,topic_politics,0.838
evt_1291632458,topic_politics,0.868
evt_1291632459,topic_politics,0.868
evt_1291632460,topic_politics,0.92
evt_1291632461,topic_politics,0.948
evt_1291632462,topic_politics,0.9
evt_1291632463,topic_politics,0.84
evt_1291632464,topic_politics,0.84
evt_1291632465,topic_security,0.9
evt_1291632466,topic_politics,0.84
evt_1291632467,topic_security,1.0
evt_1291632468,topic_security,1.0
evt_1291632469,topic_security,1.0
evt_1291632470,topic_security,1.0
evt_1291632471,topic_politics,0.94
evt_1291632472,topic_politics,0.948
evt_1291632473,topic_security,0.9
evt_1291632474,topic_politics,0.86
evt_1291632475,topic_politics,0.84
evt_1291632476,topic_security,1.0
evt_1291632477,topic_politics,0.84
evt_1291632478,topic_politics,0.84
evt_1291632479,topic_politics,0.84
evt_1291632480,topic_politics,0.856
evt_1291632481,topic_politics,0.856
evt_1291632482,topic_politics,0.86
evt_1291632483,topic_politics,0.856
evt_1291632484,topic_politics,0.856
evt_1291632485,topic_politics,0.94
evt_1291632486,topic_politics,0.84
evt_1291632487,topic_politics,0.84
evt_1291632488,topic_politics,0.84
evt_1291632489,topic_politics,0.806
evt_1291632490,topic_politics,0.888
evt_1291632491,topic_politics,0.88
evt_1291632492,topic_politics,0.88
evt_1291632493,topic_politics,0.82
evt_1291632494,topic_politics,0.82
evt_1291632495,topic_politics,0.82
evt_1291632496,topic_politics,0.82
evt_1291632497,topic_politics,0.82
evt_1291632498,topic_politics,0.82
evt_1291632499,topic_politics,0.82
evt_1291632500,topic_politics,0.82
evt_1291632501,topic_politics,0.82
evt_1291632502,topic_politics,0.82
evt_1291632503,topic_politics,0.82
evt_1291632504,topic_politics,0.82
evt_1291632505,topic_politics,0.82
evt_1291632506,topic_politics,0.82
evt_1291632507,topic_politics,0.8
evt_1291632508,topic_politics,0.8
evt_1291632509,topic_politics,0.8
evt_1291632510,topic_politics,0.9
evt_1291632511,topic_politics,0.9
evt_1291632512,topic_politics,0.9
evt_1291632513,topic_politics,0.9
evt_1291632514,topic_politics,0.88
evt_1291632515,topic_politics,0.94
evt_1291632516,topic_politics,0.94
evt_1291632517,topic_politics,0.94
evt_1291632518,topic_politics,0.94
evt_1291632519,topic_politics,0.86
evt_1291632520,topic_politics,0.86
evt_1291632521,topic_politics,0.86
evt_1291632522,topic_politics,0.86
evt_1291632523,topic_politics,0.86
evt_1291632524,topic_politics,0.86
evt_1291632525,topic_politics,0.88
evt_1291632526,topic_politics,0.88
evt_1291632527,topic_politics,0.88
evt_1291632528,topic_politics,0.88
